date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-06-11,12.4,8.8,16.9,0,0,336,20.4,49.7,1005.8,
2024-06-12,11.1,8.7,14.7,0.1,0,331,17.2,44.6,1009.3,
2024-06-13,10.1,6.8,13.2,0.1,0,302,6.3,24.5,1010,
2024-06-14,13.6,6,19.7,1.1,0,139,6.8,28.4,1008,
2024-06-15,16.9,12.9,22.1,1.5,0,90,11.6,35.3,1002.2,
2024-06-16,15.1,12.2,18.9,11.2,0,114,11.3,37.4,1001.9,
2024-06-17,13.7,11.6,18.1,2.4,0,130,9.1,46.4,1006.1,
2024-06-18,13.4,11.6,17.9,1.2,0,212,8,22.7,1008.4,
2024-06-19,12.5,10.5,16.7,3.7,0,312,16.1,40.7,1015.1,
2024-06-20,12.4,10.6,15.3,0.1,0,222,12.2,42.8,1016.4,
2024-06-21,14.4,11,18.5,0.1,0,168,8.4,28.1,1014.1,
2024-06-22,14.4,10.5,19.9,3.4,0,184,5.8,17.6,1009.7,
2024-06-23,13.4,12,17,3.2,0,205,10.9,30.6,1013.9,
2024-06-24,15,8.7,20.9,0,0,163,7.6,26.6,1019.2,
2024-06-25,17.2,12.6,21.9,0.1,0,164,12,34.6,1018.5,
2024-06-26,19.9,14.8,25.2,0,0,305,7.6,28.4,1015.9,
2024-06-27,23,15.7,28.1,6.4,0,150,16.3,50.4,1006.6,
2024-06-28,15.6,12.2,26.7,22.8,0,163,22.4,59.4,1001,
2024-06-29,12.6,10.6,14.8,9.8,0,184,15.8,40.3,1008.3,
2024-06-30,12.8,9.9,16.1,8,0,196,10.5,31.7,1008.3,
2024-07-01,11.9,11,14.7,6.1,0,271,6.4,22.3,1007.4,
2024-07-02,11.8,10.4,13.9,1.8,0,314,11.4,37.1,1007,
2024-07-03,12.5,7.8,16.7,0.1,0,171,6.8,22.7,1001.5,
2024-07-04,12.7,10.5,17.1,4.2,0,141,12.2,46.8,991.5,
2024-07-05,13.2,9,17.1,0.1,0,183,10.5,31.3,993.5,
2024-07-06,13.8,10.8,17,0.7,0,202,8.1,20.9,996.5,
2024-07-07,12.8,12.1,15.1,5,0,288,12.4,37.4,996.7,
2024-07-08,12.6,11.7,15,8.4,0,166,11.7,33.8,1012.2,
2024-07-09,15.5,10.5,20.3,0,0,204,7.9,28.4,1020.2,
2024-07-10,14.6,12.8,17.8,21.8,0,63,5.4,24.5,1012.3,
2024-07-11,17,14.9,19.4,0,0,226,9.6,32,1011.8,
2024-07-12,17.6,14.6,21.9,0.8,0,307,6.9,20.2,1013.7,
2024-07-13,20.5,13.5,26.6,0,0,326,6.9,34.2,1012.5,
2024-07-14,18.7,16.6,23.7,22.1,0,215,6,30.6,1007.4,
2024-07-15,16.8,14.5,21,1.7,0,186,7.5,22.3,1006.7,
2024-07-16,16.6,15.2,19.2,0,0,167,8,23,1010.4,
2024-07-17,15.1,13.9,17.1,0.4,0,321,9.2,26.3,1014,
2024-07-18,16.1,12.8,20.1,0.1,0,293,5.4,19.8,1019.9,
2024-07-19,18.7,15.5,21.7,0,0,154,14.1,32,1018.7,
2024-07-20,22.8,18.1,26.7,0,0,158,12.8,31.7,1012.8,
2024-07-21,19.2,15.2,25.6,31.7,0,149,15.8,61.6,1006.4,
2024-07-22,16.1,11.6,20.6,0,0,332,12.4,36.7,1010.8,
2024-07-23,16.2,10.5,21.6,0,0,344,14.2,44.3,1014.4,
2024-07-24,16.1,11,21.2,0,0,323,10.8,33.8,1015.4,
2024-07-25,15.2,11.7,19.7,19.7,0,165,11.3,38.2,1009.1,
